title,url,date,Symbol,GICS Sector,GICS Sub-Industry,date_plus_28,date_plus_7,date_plus_1,Price,price_plus_28,price_plus_7,price_plus_1,return_28,return_7,return_1,rating_28,rating_7,rating_1,predict_return_1_logReg
3M Company (MMM) CEO Mike Roman on Q3 2020 Results - Earnings Call Transcript,/article/4381810-3m-company-mmm-ceo-mike-roman-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,2020-10-27,MMM,Industrials,Industrial Conglomerates,2020-11-24,2020-11-03,2020-10-28,161.02999877929688,177.0800018310547,165.50999450683594,158.52999877929688,0.0996708884892652,0.02782087661615895,-0.015525057560401678,buy,hold,hold,hold
"3M (MMM) CEO, Michael Roman on Q2 2020 Results - Earnings Call Transcript",/article/4361384-3m-mmm-ceo-michael-roman-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,2020-07-28,MMM,Industrials,Industrial Conglomerates,2020-08-25,2020-08-04,2020-07-29,155.3300018310547,163.10000610351562,151.2100067138672,156.25,0.050022559588404736,-0.026524142590744537,0.0059228620234355045,buy,hold,hold,hold
3M Company (MMM) CEO Mike Roman on Q1 2020 Results - Earnings Call Transcript,/article/4340658-3m-company-mmm-ceo-mike-roman-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,2020-04-28,MMM,Industrials,Industrial Conglomerates,2020-05-26,2020-05-05,2020-04-29,157.61000061035156,152.0800018310547,147.42999267578125,156.25999450683594,-0.03508659829884975,-0.06458986038416215,-0.008565485047190347,sell,sell,hold,hold
3M's (MMM) CEO Mike Roman on Q4 2019 Results - Earnings Call Transcript,/article/4319588-3ms-mmm-ceo-mike-roman-on-q4-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A10,2020-01-28,MMM,Industrials,Industrial Conglomerates,2020-02-25,2020-02-04,2020-01-29,165.5800018310547,146.85000610351562,157.24000549316406,162.0,-0.1131174992173858,-0.05036837930706228,-0.021620979535363568,sell,sell,hold,hold
3M Company (MMM) CEO Mike Roman on Q3 2019 Results - Earnings Call Transcript,/article/4298957-3m-company-mmm-ceo-mike-roman-on-q3-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A13,2019-10-24,MMM,Industrials,Industrial Conglomerates,2019-11-21,2019-10-31,2019-10-25,161.88999938964844,165.13999938964844,164.99000549316406,166.08999633789062,0.02007535988790554,0.019148842517778368,0.025943523158174383,hold,hold,hold,hold
3M's (MMM) CEO Michael Roman on Q2 2019 Results - Earnings Call Transcript,/article/4277728-3ms-mmm-ceo-michael-roman-on-q2-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A15,2019-07-25,MMM,Industrials,Industrial Conglomerates,2019-08-22,2019-08-01,2019-07-26,178.1300048828125,160.8800048828125,173.36000061035156,173.97999572753906,-0.09683938431006256,-0.026778218950810784,-0.023297642404510262,sell,hold,hold,hold
Abbott Laboratories (ABT) CEO Robert Ford on Q3 2020 Results - Earnings Call Transcript,/article/4380361-abbott-laboratories-abt-ceo-robert-ford-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,2020-10-21,ABT,Health Care,Health Care Equipment,2020-11-18,2020-10-28,2020-10-22,105.93000030517578,109.7699966430664,106.41999816894531,109.4800033569336,0.036250319331897485,0.004625676034720083,0.03351272577674447,buy,hold,buy,hold
"Abbott Laboratories (ABT) CEO, Robert Ford on Q2 2020 Results - Earnings Call Transcript",/article/4358872-abbott-laboratories-abt-ceo-robert-ford-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,2020-07-16,ABT,Health Care,Health Care Equipment,2020-08-13,2020-07-23,2020-07-17,96.4000015258789,101.0999984741211,100.81999969482422,99.25,0.04875515429302624,0.04585060268654395,0.029564299056115795,buy,buy,hold,hold
"Abbott Laboratories (ABT) CEO, Robert Ford on Q1 2020 Results - Earnings Call Transcript",/article/4338017-abbott-laboratories-abt-ceo-robert-ford-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,2020-04-16,ABT,Health Care,Health Care Equipment,2020-05-14,2020-04-23,2020-04-17,96.0,91.77999877929688,93.94000244140624,96.01000213623048,-0.04395834604899085,-0.021458307902018414,0.00010418891906760486,sell,hold,hold,hold
Abbott Laboratories (ABT) CEO Miles White on Q4 2019 Results - Earnings Call Transcript,/article/4318424-abbott-laboratories-abt-ceo-miles-white-on-q4-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A8,2020-01-22,ABT,Health Care,Health Care Equipment,2020-02-19,2020-01-29,2020-01-23,91.86000061035156,89.36000061035156,89.13999938964844,90.7300033569336,-0.027215327491716512,-0.02961028959972178,-0.012301298126604077,hold,hold,hold,hold
Abbott Laboratories (ABT) CEO Miles White on Q3 2019 Results - Earnings Call Transcript,/article/4296862-abbott-laboratories-abt-ceo-miles-white-on-q3-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A10,2019-10-16,ABT,Health Care,Health Care Equipment,2019-11-13,2019-10-23,2019-10-17,81.77999877929688,84.22000122070312,81.2699966430664,82.37999725341797,0.02983617605560473,-0.0062362697950978365,0.0073367386045128935,hold,hold,hold,hold
Abbott Laboratories (ABT) CEO Miles White on Q2 2019 Results - Earnings Call Transcript,/article/4275546-abbott-laboratories-abt-ceo-miles-white-on-q2-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A12,2019-07-17,ABT,Health Care,Health Care Equipment,2019-08-14,2019-07-24,2019-07-18,85.76000213623047,83.94000244140625,88.58999633789062,87.76000213623047,-0.021222010838259253,0.03299899873095491,0.023320894941478487,hold,buy,hold,hold
Abbott Laboratories (ABT) CEO Miles White on Q1 2019 Results - Earnings Call Transcript,/article/4254989-abbott-laboratories-abt-ceo-miles-white-on-q1-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A14,2019-04-17,ABT,Health Care,Health Care Equipment,2019-05-15,2019-04-24,2019-04-18,72.87999725341797,76.51000213623047,76.75,73.91999816894531,0.04980797227791145,0.05310102761290292,0.014270046030751882,buy,buy,hold,hold
Abbott Laboratories' (ABT) CEO Miles White on Q4 2018 Results - Earnings Call Transcript,/article/4235043-abbott-laboratories-abt-ceo-miles-white-on-q4-2018-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A16,2019-01-23,ABT,Health Care,Health Care Equipment,2019-02-20,2019-01-30,2019-01-24,69.91000366210939,75.54000091552734,71.68000030517578,70.86000061035156,0.08053206921042344,0.02531821699825932,0.01358885564981116,buy,hold,hold,hold
Abbott Laboratories (ABT) CEO Miles White on Q3 2018 Results - Earnings Call Transcript,/article/4212204-abbott-laboratories-abt-ceo-miles-white-on-q3-2018-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A19,2018-10-17,ABT,Health Care,Health Care Equipment,2018-11-14,2018-10-24,2018-10-18,70.23000335693361,69.41000366210939,66.94000244140625,68.13999938964844,-0.01167591706719262,-0.046846087971923016,-0.029759417163388587,hold,sell,hold,hold
