Symbol,Name,GICS Sector_x,GICS Sub-Industry_x,Headquarters Location_x,Date first added_x,CIK_x,Founded_x,GICS Sector_y,GICS Sub-Industry_y,Headquarters Location_y,Date first added_y,CIK_y,Founded_y
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,1744489,1923
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,1751788,2019
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,1904
EMR,Emerson Electric Co.,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000,Utilities,Multi-Utilities,"Chicago, Illinois",1957-03-04,1109357,2000
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,2004
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,1971
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York, New York",2002-07-22,886982,1869,Financials,Investment Banking & Brokerage,"New York, New York",2002-07-22,886982,1869
HD,The Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,1978
HON,Honeywell,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31,773840,1906,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31,773840,1906
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",1975-06-30,19617,2000 (1799 / 1871),Financials,Diversified Banks,"New York, New York",1975-06-30,19617,2000 (1799 / 1871)
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997
KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478,1876
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468,1995,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468,1995
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667,1904/1946/1959
MA,MasterCard Inc,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391,1966
MCD,McDonald's Corp,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908,1940
MDLZ,Mondelēz International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982,2012
MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103,1949
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,Financials,Life & Health Insurance,"New York, New York",,1099219,1868
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740,1902,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1976-08-09,66740,1902
MO,Altria Group,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158,1891
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019,1975
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925),Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308,1984 (1925)
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280,1997
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,320187,1964
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,1045810,1993
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977,Information Technology,Application Software,"Austin, Texas",1989-08-31,1341439,1977
PEP,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,77476,1898,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,77476,1898
PFE,Pfizer Inc,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,78003,1849,Health Care,Pharmaceuticals,"New York, New York",1957-03-04,78003,1849
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424,1837
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",2008-03-31,1413329,2008 (1847),Consumer Staples,Tobacco,"New York, New York",2008-03-31,1413329,2008 (1847)
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917,1998
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,804328,1985,Information Technology,Semiconductors,"San Diego, California",,804328,1985
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347,1926
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003
T,AT&T Inc,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,1902,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419,1902
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902),Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902)
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,1318605,2003,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,1318605,2003
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766,1977
UNP,Union Pacific Corporation,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,100885,1862,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,100885,1862
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1090727,1907,Industrials,Air Freight & Logistics,"Atlanta, Georgia",2002-07-22,1090727,1907
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161,1958,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161,1958
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,1983 (1877),Communication Services,Integrated Telecommunication Services,"New York, New York",1983-11-30,732712,1983 (1877)
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,2014,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921,2014
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971,1852
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,1962,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169,1962
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088,1999
